ID,Y,M,D,HH,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Daily Summary
1,2006,4,1,0,Partly Cloudy,rain,17,7.388888888888887,0.89,14.1197,251.0,15.826300000000002,1015.13,Partly cloudy throughout the day.
2,2006,4,1,1,Partly Cloudy,rain,9.355555555555558,7.227777777777776,0.86,14.2646,259.0,15.826300000000002,1015.63,Partly cloudy throughout the day.
3,2006,4,1,2,Mostly Cloudy,rain,9.377777777777778,9.377777777777778,0.89,3.9284,204.0,14.9569,1015.94,Partly cloudy throughout the day.
4,2006,4,1,3,Partly Cloudy,rain,8.28888888888889,5.944444444444446,0.83,14.1036,269.0,15.826300000000002,1016.41,Partly cloudy throughout the day.
5,2006,4,1,4,Mostly Cloudy,rain,8.755555555555553,6.977777777777779,0.83,11.0446,259.0,15.826300000000002,1016.51,Partly cloudy throughout the day.
6,2006,4,1,5,Partly Cloudy,rain,9.22222222222222,7.11111111111111,0.85,13.9587,258.0,14.9569,1016.66,Partly cloudy throughout the day.
7,2006,4,1,6,Partly Cloudy,rain,7.733333333333334,5.522222222222221,0.95,12.3648,259.0,9.982,1016.72,Partly cloudy throughout the day.
8,2006,4,1,7,Partly Cloudy,rain,8.77222222222222,6.527777777777778,0.89,14.1519,260.0,9.982,1016.84,Partly cloudy throughout the day.
9,2006,4,1,8,Partly Cloudy,rain,10.82222222222222,10.82222222222222,0.82,11.3183,259.0,9.982,1017.37,Partly cloudy throughout the day.
10,2006,4,1,9,Partly Cloudy,rain,13.77222222222222,13.77222222222222,0.72,12.525800000000002,279.0,9.982,1017.22,Partly cloudy throughout the day.
11,2006,4,1,10,Partly Cloudy,rain,16.016666666666666,16.016666666666666,0.67,17.5651,290.0,11.2056,1017.42,Partly cloudy throughout the day.
12,2006,4,1,11,Partly Cloudy,rain,17.144444444444446,17.144444444444446,0.54,19.7869,316.0,11.4471,1017.74,Partly cloudy throughout the day.
13,2006,4,1,12,Partly Cloudy,rain,17.800000000000004,17.800000000000004,0.55,21.9443,281.0,11.27,1017.59,Partly cloudy throughout the day.
14,2006,4,1,13,Partly Cloudy,rain,17.333333333333332,17.333333333333332,0.51,20.6885,289.0,11.27,1017.48,Partly cloudy throughout the day.
15,2006,4,1,14,Partly Cloudy,rain,18.87777777777778,18.87777777777778,0.47,15.375500000000002,262.0,11.4471,1017.17,Partly cloudy throughout the day.
16,2006,4,1,15,Partly Cloudy,rain,18.911111111111115,18.911111111111115,0.46,10.4006,288.0,11.27,1016.47,Partly cloudy throughout the day.
17,2006,4,1,16,Partly Cloudy,rain,15.38888888888889,15.38888888888889,0.6,14.4095,251.0,11.27,1016.15,Partly cloudy throughout the day.
18,2006,4,1,17,Mostly Cloudy,rain,15.550000000000002,15.550000000000002,0.63,11.1573,230.0,11.4471,1016.17,Partly cloudy throughout the day.
19,2006,4,1,18,Mostly Cloudy,rain,14.255555555555553,14.255555555555553,0.69,8.5169,163.0,11.2056,1015.82,Partly cloudy throughout the day.
20,2006,4,1,19,Mostly Cloudy,rain,13.144444444444442,13.144444444444442,0.7,7.631400000000001,139.0,11.2056,1015.83,Partly cloudy throughout the day.
21,2006,4,1,20,Mostly Cloudy,rain,11.55,11.55,0.77,7.3899,147.0,11.0285,1015.85,Partly cloudy throughout the day.
22,2006,4,1,21,Mostly Cloudy,rain,11.183333333333334,11.183333333333334,0.76,4.9266000000000005,160.0,9.982,1015.77,Partly cloudy throughout the day.
23,2006,4,1,22,Partly Cloudy,rain,10.116666666666667,10.116666666666667,0.79,6.6493,163.0,15.826300000000002,1015.4,Partly cloudy throughout the day.
24,2006,4,1,23,Mostly Cloudy,rain,10.2,10.2,0.77,3.9284,152.0,14.9569,1015.51,Partly cloudy throughout the day.
25,2006,4,10,0,Partly Cloudy,rain,10.42222222222222,10.42222222222222,0.62,16.985500000000002,150.0,15.826300000000002,1014.4,Mostly cloudy throughout the day.
26,2006,4,10,1,Partly Cloudy,rain,9.911111111111111,7.566666666666666,0.66,17.2109,149.0,15.826300000000002,1014.2,Mostly cloudy throughout the day.
27,2006,4,10,2,Mostly Cloudy,rain,11.183333333333334,11.183333333333334,0.8,10.8192,163.0,14.9569,1008.71,Mostly cloudy throughout the day.
28,2006,4,10,3,Partly Cloudy,rain,7.155555555555556,5.044444444444443,0.79,11.0768,180.0,15.826300000000002,1014.47,Mostly cloudy throughout the day.
29,2006,4,10,4,Partly Cloudy,rain,6.111111111111111,4.816666666666667,0.82,6.6493,161.0,15.826300000000002,1014.45,Mostly cloudy throughout the day.
30,2006,4,10,5,Partly Cloudy,rain,6.788888888888888,4.272222222222221,0.83,13.0088,135.0,14.9569,1014.49,Mostly cloudy throughout the day.
31,2006,4,10,6,Mostly Cloudy,rain,7.26111111111111,5.155555555555556,0.85,11.1734,141.0,6.1985,1014.52,Mostly cloudy throughout the day.
32,2006,4,10,7,Mostly Cloudy,rain,7.799999999999999,5.52777777777778,0.83,12.8156,150.0,8.05,1014.16,Mostly cloudy throughout the day.
33,2006,4,10,8,Mostly Cloudy,rain,9.872222222222224,7.933333333333334,0.78,13.7494,160.0,9.982,1014.24,Mostly cloudy throughout the day.
34,2006,4,10,9,Mostly Cloudy,rain,12.22222222222222,12.22222222222222,0.72,15.633100000000002,150.0,9.982,1014.25,Mostly cloudy throughout the day.
